filename	timestamp
563.jpeg	2021-10-22T12:25:36-04:00
564.jpeg	2021-10-22T18:45:29-04:00
565.jpeg	2021-10-23T13:22:08-04:00
566.jpeg	2021-10-23T19:09:26-04:00
567.jpeg	2021-10-24T13:43:21-04:00
568.jpeg	2021-10-24T18:37:26-04:00
569.jpeg	2021-10-25T12:27:59-04:00
570.jpeg	2021-10-25T20:14:42-04:00
571.jpeg	2021-10-26T12:51:36-04:00
572.jpeg	2021-10-26T19:12:03-04:00
573.jpeg	2021-10-27T13:25:18-04:00
574.jpeg	2021-10-27T19:32:47-04:00
575.jpeg	2021-10-28T12:55:52-04:00
576.jpeg	2021-10-28T19:34:08-04:00
577.jpeg	2021-10-29T13:42:23-04:00
578.jpeg	2021-10-29T19:09:40-04:00
579.jpeg	2021-10-30T12:36:38-04:00
580.jpeg	2021-10-30T19:08:54-04:00
